H0_true,H0_inferred_gr,delta_H0_inferred_minus_true,omega_m_true,omega_m_assumed,omega_k_true,r_d_true,r_d_assumed,theta_star_true,theta_star_obs,A_lens_true,A_lens_obs,relief_fraction,rd_shift_needed_frac_for_H0local
6.864857969422230610e+01,7.559071809493529770e+01,6.942138400712991597e+00,3.934200785119340016e-01,2.967933558192498711e-01,0.000000000000000000e+00,1.445728235488079463e+02,1.470900000000000034e+02,1.160394938757528492e-02,1.160394938757528492e-02,9.706704536478486522e-01,9.706704536478486522e-01,5.373717687615535699e-01,3.519489752996274312e-02
7.410564051156586629e+01,8.126030026079781976e+01,7.154659749231953469e+00,3.648182652879478627e-01,2.504235519791520592e-01,0.000000000000000000e+00,1.387512152378645283e+02,1.470900000000000034e+02,1.165589344169745342e-02,1.165589344169745342e-02,8.916251471938303474e-01,8.916251471938303474e-01,-4.750536179996120989e-01,1.120767522525036863e-01
7.127322819230950302e+01,7.382713945409932421e+01,2.553911261789821197e+00,3.768108982672294660e-01,3.177261589526752528e-01,0.000000000000000000e+00,1.422566646394607801e+02,1.470900000000000034e+02,1.164726058841976733e-02,1.164726058841976733e-02,1.004317914241121379e+00,1.004317914241121379e+00,8.522965260536919940e-01,1.124194846864923214e-02
7.083120519417079208e+01,7.230306304424937025e+01,1.471857850078578167e+00,3.067222969696261625e-01,2.895098638199761210e-01,0.000000000000000000e+00,1.467143177652349664e+02,1.470900000000000034e+02,1.099433037309391001e-02,1.099433037309391001e-02,9.586860449395461226e-01,9.586860449395461226e-01,8.755469721873874178e-01,-9.464524905583138192e-03
7.246460130896127794e+01,6.703600004967711357e+01,-5.428601259284164371e+00,2.600268524223429134e-01,2.679385895217558100e-01,0.000000000000000000e+00,1.377978824561302531e+02,1.470900000000000034e+02,9.893294996754562962e-03,9.893294996754562962e-03,9.222790775543284747e-01,9.222790775543284747e-01,-6.499999112908794174e-02,-8.091450885578888030e-02
6.821687690225394363e+01,7.118489307963791646e+01,2.968016177383972831e+00,3.105909758593734526e-01,2.985039934832735553e-01,0.000000000000000000e+00,1.510291342958287828e+02,1.470900000000000034e+02,1.095807315324816983e-02,1.095807315324816983e-02,9.734637771092082836e-01,9.734637771092082836e-01,6.758737642210561614e-01,-2.465450654298628752e-02
6.701080423034709099e+01,7.395764153745739122e+01,6.946837307110300230e+00,3.527113499814089614e-01,2.936324397412660159e-01,0.000000000000000000e+00,1.507664011581516661e+02,1.470900000000000034e+02,1.130704337178198293e-02,1.130704337178198293e-02,9.654876878392072426e-01,9.654876878392072426e-01,8.289925825968942341e-01,1.300747370347399290e-02
6.885926275119686579e+01,7.119127757818903035e+01,2.332014826992164558e+00,3.718744782241930613e-01,3.315929263384285175e-01,0.000000000000000000e+00,1.452031380640752616e+02,1.470900000000000034e+02,1.142791067789862385e-02,1.142791067789862385e-02,1.025999978864489126e+00,1.025999978864489126e+00,6.770138532480407534e-01,-2.458825078761062155e-02
6.814932722139160148e+01,7.279257144410023272e+01,4.643244222708631241e+00,3.652105435912614273e-01,3.135333207945951162e-01,0.000000000000000000e+00,1.477315334484408140e+02,1.470900000000000034e+02,1.142462872058607783e-02,1.142462872058607783e-02,9.976692215050024792e-01,9.976692215050024792e-01,9.629591864464700501e-01,-2.818817509040782987e-03
7.065301951583111872e+01,7.742070452111785528e+01,6.767685005286736555e+00,3.554095958132311162e-01,2.722069420458697597e-01,0.000000000000000000e+00,1.448216292429079033e+02,1.470900000000000034e+02,1.148180141872876328e-02,1.148180141872876328e-02,9.295961609042071583e-01,9.295961609042071583e-01,2.105884783718107167e-01,6.001594931519482756e-02
6.949413243693189202e+01,8.104006133322641858e+01,1.154592889629452657e+01,3.591356279037028476e-01,2.477556307981781392e-01,0.000000000000000000e+00,1.478009127781861878e+02,1.470900000000000034e+02,1.157558200990243744e-02,1.157558200990243744e-02,8.868629048831102590e-01,8.868629048831102590e-01,-4.357252380761476029e-01,1.090764758984064109e-01
7.457426817622562965e+01,6.043114227350254453e+01,-1.414312590272308512e+01,2.276831773206596243e-01,2.990809215414249600e-01,0.000000000000000000e+00,1.330095403001112686e+02,1.470900000000000034e+02,9.325213703219438141e-03,9.325213703219438141e-03,9.744040450391462382e-01,9.744040450391462382e-01,-1.244438879731690761e+00,-1.706273251986120121e-01
7.493601509179495679e+01,8.544916609623896875e+01,1.051315100444401196e+01,3.877039917604747643e-01,2.377510100769344437e-01,0.000000000000000000e+00,1.378961915859690066e+02,1.470900000000000034e+02,1.200366690438191448e-02,1.200366690438191448e-02,8.687721861082728925e-01,8.687721861082728925e-01,-1.223065374328389687e+00,1.688586778946312705e-01
7.395818039775045349e+01,6.784766357196656372e+01,-6.110516825783889772e+00,2.853326595513753228e-01,2.973758378303299477e-01,0.000000000000000000e+00,1.372753035705909497e+02,1.470900000000000034e+02,1.043323315932636990e-02,1.043323315932636990e-02,9.716224981063603661e-01,9.716224981063603661e-01,7.993992356545687183e-02,-6.997029305613622352e-02
