rep,truth_draw,delta_lpd_total,delta_lpd_data,delta_lpd_sel
97,21,4.735450445780259,3.43492530296885,1.3005251428114093
98,96,4.505096278165809,3.25648794655163,1.2486083316141787
99,213,3.630129595065398,2.5947891002561505,1.0353404948092475
100,102,3.650945350772986,2.5744936896394677,1.0764516611335182
101,201,3.54308688194385,2.522044076145505,1.021042805798345
102,81,3.829952880521887,2.7413764070476248,1.0885764734742622
103,61,3.4159858189271404,2.3972659149175684,1.018719904009572
104,202,3.4905083340281067,2.473651445165302,1.0168568888628045
105,224,3.745319451005969,2.6399656130112135,1.1053538379947554
106,20,3.6834057684288837,2.62789784924837,1.0555079191805135
107,14,3.570382025045433,2.5001511872156925,1.0702308378297403
108,171,3.143462827252847,2.1981526135396905,0.9453102137131566
109,86,3.3558342745382674,2.4005359458650446,0.9552983286732228
110,146,3.495070350525907,2.492407597269562,1.0026627532563452
111,38,3.5904616038795325,2.562670673845844,1.0277909300336887
112,220,4.549264612977936,3.3115161341269186,1.2377484788510174
113,115,3.3444746899202187,2.376898427603237,0.9675762623169817
114,229,3.350816550416255,2.369673026549094,0.9811435238671606
115,203,3.2821691717796853,2.330423229476054,0.9517459423036314
116,180,4.191111344171759,2.9789300314453158,1.2121813127264431
117,59,3.5950771988659653,2.5423254088499903,1.052751790015975
118,196,3.069055275142773,2.1157823780030185,0.9532728971397546
119,13,4.129303593561588,2.984447555617436,1.1448560379441517
120,145,3.1763309656042793,2.262750289208867,0.9135806763954122
121,103,3.7860483908003744,2.6748533328363635,1.1111950579640109
122,255,3.67504456522704,2.556221431079365,1.118823134147675
123,50,3.7958766918476954,2.7270015369272187,1.0688751549204767
124,242,3.8879139236910873,2.775612843189549,1.1123010805015383
125,23,3.521420106658411,2.499456359921709,1.0219637467367022
126,159,3.443389448279788,2.4281535154033236,1.0152359328764646
127,148,3.7348229057158733,2.639697927330104,1.095124978385769
128,230,3.570694615875709,2.562315532183277,1.0083790836924322
129,76,3.228198279917706,2.231842514344578,0.9963557655731279
130,230,3.4964784086841973,2.4920131130224092,1.004465295661788
131,172,3.956230701166021,2.8631117018557575,1.0931189993102635
