rep,group,n_ev,delta_lpd_total,delta_lpd_data,delta_lpd_sel
34,sky_large,18,3.541906342267282,2.984833986822835,0.557072355444447
35,dist_low,12,3.0539203906227925,2.7566352043425724,0.29728518628022016
35,dist_mid,12,0.2415400353008863,-0.20284270430583717,0.4443827396067235
35,dist_high,12,0.6698648285003515,0.1918689278917043,0.47799590060864716
35,sky_small,18,-0.053515892144218924,-0.639272802031627,0.585756909887408
35,sky_large,18,3.4857666494555275,2.94481607296521,0.5409505764903173
36,dist_low,12,-0.25416955143127495,-0.6701519758406675,0.4159824244093926
36,dist_mid,12,2.911312311722284,2.598734234616259,0.3125780771060249
36,dist_high,12,1.167151667896647,0.6744847309908124,0.4926669369058345
36,sky_small,18,-0.1966972641742757,-0.7698730299709666,0.5731757657966909
36,sky_large,18,3.564036482116208,3.0031469697374007,0.5608895123788074
37,dist_low,12,1.5737376262224672,1.1634371830904797,0.41030044313198744
37,dist_mid,12,0.19837979767454783,-0.24743311224733588,0.4458129099218837
37,dist_high,12,2.608661422242392,2.321308321339231,0.2873531009031609
37,sky_small,18,-0.12214281724891407,-0.6933172180844167,0.5711744008355026
37,sky_large,18,3.4715419825179765,2.932802635801437,0.5387393467165396
38,dist_low,12,0.02975374949822651,-0.4102404028907074,0.4399941523889339
38,dist_mid,12,1.5333269336030355,1.1225526831687773,0.4107742504342582
38,dist_high,12,2.391288934906882,2.1022654758150168,0.2890234590918652
38,sky_small,18,-0.17025862527910363,-0.7361086973317015,0.5658500720525979
38,sky_large,18,3.3579471406311114,2.8376237768306254,0.520323363800486
39,dist_low,12,2.814539235338117,2.5315335026571972,0.28300573268091966
39,dist_mid,12,1.2755839665211255,0.8741950399452918,0.4013889265758337
39,dist_high,12,0.8313657822017149,0.3723267196452653,0.45903906255644955
39,sky_small,18,0.2811133112271307,-0.3248331687130843,0.605946479940215
39,sky_large,18,3.5366372993044735,3.005840608482103,0.5307966908223705
40,dist_low,12,2.7230421441054347,2.4417537834443976,0.281288360661037
40,dist_mid,12,0.7505832464790814,0.2654057595066206,0.48517748697246077
40,dist_high,12,1.690780948755517,1.2769402220297223,0.41384072672579464
40,sky_small,18,0.3762014691085085,-0.25904485982823644,0.6352463289367449
40,sky_large,18,3.6553659382884263,3.085799788742378,0.5695661495460485
41,dist_low,12,3.2578184908574173,2.9409383021902187,0.3168801886671986
41,dist_mid,12,-0.21849344251504021,-0.6294629597853998,0.4109695172703596
41,dist_high,12,0.9015452813436582,0.4363601928558296,0.4651850884878286
41,sky_small,18,-0.041674467642081936,-0.6216064730412256,0.5799320053991437
