rep,group,n_ev,delta_lpd_total,delta_lpd_data,delta_lpd_sel
15,dist_low,12,-0.11687228490413304,-0.5401852720011249,0.42331298709699183
15,dist_mid,12,0.007451358926715557,-0.4365655778264568,0.44401693675317233
15,dist_high,12,3.4140659783994067,3.0418200560377144,0.3722459223616923
15,sky_small,18,-0.043813981890622244,-0.6454024284760465,0.6015884465854242
15,sky_large,18,3.510702307470382,2.9673988540973113,0.5433034533730705
16,dist_low,12,2.733472665943708,2.4463963874101893,0.2870762785335188
16,dist_mid,12,0.06722281908757566,-0.3671361773699999,0.4343589964575756
16,dist_high,12,1.6935595131822652,1.2740065966877268,0.4195529164945384
16,sky_small,18,0.1640701471462478,-0.44403668227002413,0.6081068294162719
16,sky_large,18,3.40562727599702,2.891554288216639,0.5140729877803807
17,dist_low,12,0.1302656375447242,-0.32787325852781635,0.45813889607254055
17,dist_mid,12,0.13737931081122667,-0.2973910922973033,0.43477040310853
17,dist_high,12,3.4643378229279875,3.0887538321613093,0.37558399076667826
17,sky_small,18,0.14083157432688154,-0.46604343386067626,0.6068750081875578
17,sky_large,18,3.6201009564134523,3.0587164631923685,0.5613844932210839
18,dist_low,12,0.16181313536094422,-0.2924430080424969,0.4542561434034411
18,dist_mid,12,2.781426619651427,2.4717628201012047,0.30966379955022205
18,dist_high,12,1.9044304703352424,1.480658954401676,0.42377151593356643
18,sky_small,18,0.24391152736254185,-0.34851187740108003,0.5924234047636219
18,sky_large,18,3.811875114649382,3.227147183214413,0.5847279314349692
19,dist_low,12,1.5771569634275977,1.1690806206145794,0.4080763428130183
19,dist_mid,12,0.22999739070911573,-0.22523694187988497,0.4552343325890007
19,dist_high,12,2.9818575722989777,2.6573562734645435,0.32450129883443424
19,sky_small,18,0.1166663664981229,-0.5013211613870965,0.6179875278852194
19,sky_large,18,3.71073141902329,3.132984991585687,0.577746427437603
20,dist_low,12,1.5093499160966246,1.0993622913964884,0.40998762470013617
20,dist_mid,12,0.12235990160449717,-0.33146771931285457,0.45382762091735174
20,dist_high,12,3.231812419698983,2.861790493667314,0.3700219260316686
20,sky_small,18,0.6420483604287881,-0.023624334394824587,0.6656726948236127
20,sky_large,18,3.7267790480747323,3.143936982638209,0.5828420654365232
21,dist_low,12,1.2638170193506113,0.8892651051462082,0.37455191420440315
21,dist_mid,12,2.7294982639663914,2.4124627902416833,0.3170354737247081
21,dist_high,12,1.0072284947779906,0.515319099353917,0.49190939542407364
21,sky_small,18,0.5043835051998542,-0.16543273504248646,0.6698162402423407
21,sky_large,18,3.4458214802369724,2.9006687977641405,0.5451526824728319
22,dist_low,12,2.5435098943779906,2.2685753143351377,0.27493458004285287
22,dist_mid,12,0.23427816088081954,-0.21147796654661022,0.44575612742742976
22,dist_high,12,1.9708268861525369,1.5344899070385765,0.4363369791139604
22,sky_small,18,0.253001653057936,-0.38688125767640713,0.6398829107343431
22,sky_large,18,3.4286443784522334,2.8918425031350097,0.5368018753172237
23,dist_low,12,0.1961437376426005,-0.2597373431611061,0.4558810808037066
23,dist_mid,12,0.3259154778610025,-0.11819792965860643,0.4441134075196089
23,dist_high,12,3.064275790009958,2.7405387194095567,0.32373707060040147
23,sky_small,18,0.04426830154778827,-0.5458254952075094,0.5900937967552977
23,sky_large,18,3.3486137523305928,2.8182999730423433,0.5303137792882495
24,dist_low,12,2.5978621720124124,2.3071686630923267,0.2906935089200857
24,dist_mid,12,0.1744285106085215,-0.26144240895689563,0.4358709195654171
24,dist_high,12,1.6647852171242192,1.2426877674345747,0.4220974496896446
24,sky_small,18,-0.07743847338676346,-0.664907411063723,0.5874689376769595
24,sky_large,18,3.5029598477060233,2.960390499553924,0.5425693481520995
25,dist_low,12,0.014197766397160194,-0.4272362164856247,0.4414339828827849
25,dist_mid,12,1.446024633627104,1.0374917422225707,0.4085328914045334
25,dist_high,12,3.0433541034413736,2.7141320128303477,0.3292220906110259
25,sky_small,18,0.14170538509708308,-0.4854546195504952,0.6271600046475783
25,sky_large,18,3.5588246238256716,3.0054233198112,0.5534013040144714
26,dist_low,12,0.1411532465778862,-0.3031731539950755,0.4443264005729617
26,dist_mid,12,2.606314620660939,2.340971892899219,0.26534272776171974
26,dist_high,12,2.076577184279273,1.6402567909310335,0.4363203933482396
26,sky_small,18,0.03725408699679633,-0.5605250575313789,0.5977791445281753
26,sky_large,18,3.587647816167859,3.034409504926373,0.5532383112414863
27,dist_low,12,1.773539425064726,1.3610050790387191,0.4125343460260069
27,dist_mid,12,0.38232989514453664,-0.08244422609949709,0.4647741212440337
27,dist_high,12,2.898633461955626,2.56644235260147,0.33219110935415586
27,sky_small,18,0.9430718356584009,0.2576737970661327,0.6853980385922682
27,sky_large,18,3.4896669290902764,2.961326281777872,0.5283406473124046
28,dist_low,12,2.751161050427257,2.4901690001322407,0.26099205029501604
28,dist_mid,12,1.5880946499072621,1.1689922650965627,0.4191023848106994
28,dist_high,12,0.6630747125462051,0.19316357849493215,0.46991113405127294
28,sky_small,18,-0.015743570823417485,-0.623383766525734,0.6076401957023165
28,sky_large,18,3.55653680909883,3.008177258324551,0.5483595507742791
29,dist_low,12,-0.05444181104182633,-0.49213688431152036,0.43769507326969403
29,dist_mid,12,0.32124266387799594,-0.1348239950123542,0.45606665889035014
29,dist_high,12,3.1824744647210252,2.852417218542243,0.3300572461787823
29,sky_small,18,-0.1755453289137563,-0.7465070271230161,0.5709616982092598
29,sky_large,18,3.4109580576092497,2.876702284717794,0.5342557728914556
30,dist_low,12,2.732680340096735,2.4218470930786253,0.31083324701810966
30,dist_mid,12,1.4029605151935698,0.9983570030248359,0.4046035121687339
30,dist_high,12,1.2306739732059953,0.7438394115754647,0.4868345616305305
30,sky_small,18,0.8530236326676857,0.17227885517269215,0.6807447774949935
30,sky_large,18,3.5463682447909974,2.9958815065185718,0.5504867382724257
31,dist_low,12,3.1525698080623243,2.836005434247241,0.3165643738150834
31,dist_mid,12,0.6250132565687494,0.16443438133424593,0.46057887523450347
31,dist_high,12,0.9014204713604954,0.4531404142742872,0.4482800570862082
31,sky_small,18,0.4727657063544939,-0.1188307047494277,0.5915964111039216
31,sky_large,18,3.6857910808558074,3.1218922829386457,0.5638987979171617
32,dist_low,12,1.2750068374349297,0.8838193182218532,0.3911875192130765
32,dist_mid,12,2.467827897786094,2.174381543276965,0.29344635450912904
32,dist_high,12,0.9565449582958507,0.4693180541899622,0.48722690410588854
32,sky_small,18,-0.049331020591068864,-0.6420925873526642,0.5927615667615953
32,sky_large,18,3.55828084090129,2.9988879438746068,0.559392897026683
33,dist_low,12,1.3187647488851155,0.9333386344720651,0.3854261144130504
33,dist_mid,12,0.7240151977372733,0.24582524214278578,0.4781899555944875
33,dist_high,12,2.768905472292232,2.4419291827513945,0.3269762895408377
33,sky_small,18,0.3946411412211148,-0.26829125727689984,0.6629323984980147
33,sky_large,18,3.48218066714351,2.935749134613218,0.546431532530292
34,dist_low,12,0.11822422996920068,-0.3283351904175049,0.4465594203867056
34,dist_mid,12,1.5522824644103537,1.1311878977079317,0.42109456670242196
34,dist_high,12,2.840378466014812,2.50905003314449,0.3313284328703219
34,sky_small,18,-0.008482475565386949,-0.6074147387816708,0.5989322632162839
34,sky_large,18,3.759147798504827,3.168434002457417,0.5907137960474103
35,dist_low,12,1.5004625227368678,1.0947312479301843,0.4057312748066835
35,dist_mid,12,0.17115528291317617,-0.26789074844816696,0.4390460313613431
35,dist_high,12,2.6719339248501512,2.360543991791559,0.3113899330585923
35,sky_small,18,-0.030628693580950994,-0.632034268732582,0.601405575151631
35,sky_large,18,3.4033018821365744,2.862940282683141,0.5403615994534334
36,dist_low,12,0.39813906031452007,-0.060134877852974,0.45827393816749407
36,dist_mid,12,1.184010998343453,0.7962634418790344,0.3877475564644186
36,dist_high,12,2.742568749266084,2.4336490856603703,0.3089196636057139
36,sky_small,18,-0.008044233130732437,-0.5707407813625878,0.5626965482318553
36,sky_large,18,3.465448984310612,2.9148949097036336,0.5505540746069784
37,dist_low,12,0.6519338515461754,0.17971600197061832,0.4722178495755571
37,dist_mid,12,0.08638468566182667,-0.35659951099000864,0.4429841966518353
37,dist_high,12,3.400398115793905,3.0604859507808797,0.33991216501302546
37,sky_small,18,0.6723896252846373,0.055579201683002566,0.6168104236016347
37,sky_large,18,3.6007522742111036,3.0407222809474774,0.5600299932636261
38,dist_low,12,1.6460099263346137,1.2263841480674103,0.4196257782672035
38,dist_mid,12,2.512799453873612,2.2289623392624662,0.2838371146111456
38,dist_high,12,1.7646316968515237,1.24779594703962,0.5168357498119036
38,sky_small,18,0.9450429069400741,0.255606950854002,0.6894359560860721
38,sky_large,18,3.765646060392342,3.1798695342213392,0.5857765261710028
39,dist_low,12,2.6875221065539137,2.4219664551970084,0.2655556513569053
39,dist_mid,12,0.3688366132115277,-0.09878958087954004,0.46762619409106776
39,dist_high,12,1.9210441832548355,1.500736150249196,0.42030803300563946
39,sky_small,18,0.5145393676763774,-0.1148299138902189,0.6293692815665963
39,sky_large,18,3.4580482700654755,2.9193540607473523,0.5386942093181233
40,dist_low,12,0.1069135459219126,-0.3351934905810907,0.4421070365030033
40,dist_mid,12,-0.09400026865475297,-0.5129734255574192,0.41897315690266623
40,dist_high,12,3.4546031420484127,3.0869436099964958,0.3676595320519169
40,sky_small,18,-0.08281365380886996,-0.6638069473951589,0.5809932935862889
40,sky_large,18,3.543795133367354,2.995075514274248,0.5487196190931058
41,dist_low,12,0.1158672712315365,-0.3349363222837951,0.4508035935153316
41,dist_mid,12,2.627672279627916,2.3232633572170798,0.30440892241083617
41,dist_high,12,1.5727116227773479,1.1696567316546833,0.40305489112266457
41,sky_small,18,0.06936161783298189,-0.5108958898474611,0.580257507680443
41,sky_large,18,3.54288819147078,3.004248848658065,0.538639342812715
42,dist_low,12,0.038302140343517976,-0.4100363061512553,0.4483384464947733
42,dist_mid,12,3.2428678293849913,2.9122019891953954,0.3306658401895959
42,dist_high,12,0.5218001063366984,0.06387236666206775,0.45792773967463063
42,sky_small,18,0.08349791709551369,-0.5373168173190095,0.6208147344145232
42,sky_large,18,3.443618380278025,2.89909600456393,0.5445223757140951
43,dist_low,12,1.4169988363832147,1.0157417476292494,0.40125708875396526
43,dist_mid,12,0.28091457411524345,-0.17187753304098408,0.45279210715622753
43,dist_high,12,2.7453484754119017,2.440310119385657,0.30503835602624463
43,sky_small,18,-0.22144739404035363,-0.7889652464714061,0.5675178524310525
